1824
21
41161
41161
 0 1 1 84 124 13 (D 0,1,1) (S 1,2,2) (S 2,3,3) (S 60,3,10) (S 83,10,16) (S 12,16,16) (S 54,16,15) (S 11,15,15) (S 55,15,14) (S 10,13,13) (S 5,6,6) (S 91,6,1) (D 0,1,1)
 0 1 2 91 159 16 (D 0,1,1) (S 25,1,7) (S 6,7,7) (S 23,13,14) (S 80,14,20) (S 14,20,20) (S 24,20,21) (S 15,21,21) (S 16,22,22) (S 19,28,28) (S 18,27,27) (S 38,27,26) (S 17,26,26) (S 75,26,20) (S 85,13,7) (D 0,1,1)
 0 1 3 40 90 9 (D 0,1,1) (S 53,1,2) (S 7,8,8) (S 22,8,9) (S 35,9,10) (S 78,10,4) (S 66,4,3) (S 57,2,1) (D 0,1,1)
 0 1 4 29 100 9 (D 0,1,1) (S 74,1,6) (S 31,6,7) (S 86,14,15) (S 63,15,21) (S 87,23,28) (S 89,34,33) (S 21,33,33) (D 0,1,1)
 0 1 5 18 71 5 (D 0,1,1) (S 28,10,11) (S 9,11,11) (S 3,4,4) (D 0,1,1)
 0 1 6 15 69 4 (D 0,1,1) (S 33,4,5) (S 4,5,5) (D 0,1,1)
 0 1 7 71 174 12 (D 0,1,1) (S 81,18,19) (S 13,19,19) (S 58,19,25) (S 76,25,29) (S 52,25,26) (S 40,26,25) (S 36,30,31) (S 20,31,31) (S 39,31,26) (S 43,12,18) (D 0,1,1)
 0 1 8 54 128 7 (D 0,1,1) (S 29,4,11) (S 37,11,24) (S 47,24,23) (S 41,23,22) (S 45,22,15) (D 0,1,1)
 0 1 9 8 49 4 (D 0,1,1) (S 8,9,9) (S 46,9,15) (D 0,1,1)
 0 1 10 17 59 4 (D 0,1,1) (S 32,19,20) (S 49,20,14) (D 0,1,1)
 0 1 11 23 74 6 (D 0,1,1) (S 61,25,30) (S 50,30,25) (S 69,25,19) (S 44,19,12) (D 0,1,1)
 0 1 12 40 134 7 (D 0,1,1) (S 34,16,17) (S 48,17,24) (S 42,23,24) (S 65,24,34) (S 67,34,24) (D 0,1,1)
 0 1 13 13 80 5 (D 0,1,1) (S 51,17,11) (S 68,11,17) (S 73,16,10) (D 0,1,1)
 0 1 14 11 46 4 (D 0,1,1) (S 72,2,8) (S 27,8,14) (D 0,1,1)
 0 1 15 15 45 4 (D 0,1,1) (S 59,2,13) (S 77,13,12) (D 0,1,1)
 0 1 16 15 84 5 (D 0,1,1) (S 30,27,32) (S 79,32,33) (S 70,28,22) (D 0,1,1)
 0 1 17 20 65 4 (D 0,1,1) (S 56,18,29) (S 82,29,25) (D 0,1,1)
 0 1 18 7 69 4 (D 0,1,1) (S 84,22,28) (S 62,28,23) (D 0,1,1)
 0 1 19 17 42 4 (D 0,1,1) (S 64,18,12) (S 88,12,6) (D 0,1,1)
 0 1 20 13 82 4 (D 0,1,1) (S 26,28,33) (S 90,33,32) (D 0,1,1)
 0 1 21 13 80 4 (D 0,1,1) (S 92,26,31) (S 71,30,29) (D 0,1,1)
