238
11
247
247
 0 1 1 15 17 4 (D 0,1,1) (S 7,1,7) (S 5,7,7) (D 0,1,1)
 0 1 2 30 39 6 (D 0,1,1) (S 13,3,4) (S 3,4,4) (S 8,4,6) (S 4,6,6) (D 0,1,1)
 0 1 3 28 32 5 (D 0,1,1) (S 1,2,2) (S 9,2,8) (S 6,8,8) (D 0,1,1)
 0 1 4 23 28 4 (D 0,1,1) (S 2,3,3) (S 12,3,7) (D 0,1,1)
 0 1 5 14 24 4 (D 0,1,1) (S 11,2,6) (S 15,6,8) (D 0,1,1)
 0 1 6 12 19 4 (D 0,1,1) (S 14,1,5) (S 17,5,7) (D 0,1,1)
 0 1 7 9 13 4 (D 0,1,1) (S 19,1,2) (S 10,2,7) (D 0,1,1)
 0 1 8 8 15 3 (D 0,1,1) (S 20,5,8) (D 0,1,1)
 0 1 9 12 18 4 (D 0,1,1) (S 21,1,4) (S 16,4,8) (D 0,1,1)
 0 1 10 6 11 3 (D 0,1,1) (S 22,3,6) (D 0,1,1)
 0 1 11 11 22 4 (D 0,1,1) (S 23,4,5) (S 18,5,6) (D 0,1,1)
